Division,Team,Year,Coach,Win,Loss,Tie,Pct.,Points Scored,Points Allowed,Delta
East,Penn State,1986,Joe Paterno,12,0,0,1,340,133,207
East,Penn State,1987,Joe Paterno,8,4,0,0.66667,286,244,42
East,Penn State,1988,Joe Paterno,5,6,0,0.45455,231,201,30
East,Penn State,1989,Joe Paterno,8,3,1,0.70833,259,169,90
East,Penn State,1990,Joe Paterno,9,3,0,0.75,297,179,118
East,Penn State,1991,Joe Paterno,11,2,0,0.84615,474,184,290
East,Penn State,1992,Joe Paterno,7,5,0,0.58333,391,234,157
East,Penn State,1993,Joe Paterno,10,2,0,0.83333,388,215,173
East,Penn State,1994,Joe Paterno,12,0,0,1,564,252,312
East,Penn State,1995,Joe Paterno,9,3,0,0.75,399,259,140
East,Penn State,1996,Joe Paterno,11,2,0,0.84615,400,203,197
East,Penn State,1997,Joe Paterno,9,3,0,0.75,366,254,112
East,Penn State,1998,Joe Paterno,9,3,0,0.75,317,183,134
East,Penn State,1999,Joe Paterno,10,3,0,0.76923,417,234,183
East,Penn State,2000,Joe Paterno,5,7,0,0.41667,264,293,-29
East,Penn State,2001,Joe Paterno,5,6,0,0.45455,248,281,-33
East,Penn State,2002,Joe Paterno,9,4,0,0.69231,446,227,219
East,Penn State,2003,Joe Paterno,3,9,0,0.25,233,255,-22
East,Penn State,2004,Joe Paterno,4,7,0,0.36364,195,168,27
East,Penn State,2005,Joe Paterno,11,1,0,0.91667,413,204,209
East,Penn State,2006,Joe Paterno,9,4,0,0.69231,290,187,103
East,Penn State,2007,Joe Paterno,9,4,0,0.69231,394,228,166
East,Penn State,2008,Joe Paterno,11,2,0,0.84615,506,187,319
East,Penn State,2009,Joe Paterno,11,2,0,0.84615,375,159,216
East,Penn State,2010,Joe Paterno,7,6,0,0.53846,319,308,11
East,Penn State,2011,Joe Paterno,9,4,0,0.69231,251,218,33
East,Penn State,,Tom Bradley,,,,,,,
East,Penn State,2012,Bill O'Brien,8,4,0,0.66667,349,229,120
East,Penn State,2013,Bill O'Brien,7,5,0,0.58333,344,314,30
East,Penn State,2014,James Franklin,7,6,0,0.53846,268,242,26
East,Rutgers,1950,Harvey J. Harman,4,4,0,0.5,186,154,32
East,Rutgers,1951,Harvey J. Harman,4,4,0,0.5,184,114,70
East,Rutgers,1952,Harvey J. Harman,4,4,1,0.5,178,184,-6
East,Rutgers,1953,Harvey J. Harman,2,6,0,0.25,126,216,-90
East,Rutgers,1954,Harvey J. Harman,3,6,0,0.33333,140,145,-5
East,Rutgers,1955,Harvey J. Harman,3,5,0,0.375,95,163,-68
East,Rutgers,1956,John R. Stiegman,3,7,0,0.3,117,240,-123
East,Rutgers,1957,John R. Stiegman,5,4,0,0.55556,181,133,48
East,Rutgers,1958,John R. Stiegman,8,1,0,0.88889,301,77,224
East,Rutgers,1959,John R. Stiegman,6,3,0,0.66667,132,121,11
East,Rutgers,1960,John F. Bateman,8,1,0,0.88889,225,69,156
East,Rutgers,1961,John F. Bateman,9,0,0,1,246,102,144
East,Rutgers,1962,John F. Bateman,5,5,0,0.5,164,169,-5
East,Rutgers,1963,John F. Bateman,3,6,0,0.33333,145,148,-3
East,Rutgers,1964,John F. Bateman,6,3,0,0.66667,149,115,34
East,Rutgers,1965,John F. Bateman,3,6,0,0.33333,84,152,-68
East,Rutgers,1966,John F. Bateman,5,4,0,0.55556,184,177,7
East,Rutgers,1967,John F. Bateman,4,5,0,0.44444,155,170,-15
East,Rutgers,1968,John F. Bateman,8,2,0,0.8,276,182,94
East,Rutgers,1969,John F. Bateman,6,3,0,0.66667,212,150,62
East,Rutgers,1970,John F. Bateman,5,5,0,0.5,193,215,-22
East,Rutgers,1971,John F. Bateman,4,7,0,0.36364,193,243,-50
East,Rutgers,1972,John F. Bateman,7,4,0,0.63636,290,172,118
East,Rutgers,1973,Frank R. Burns,6,5,0,0.54545,245,208,37
East,Rutgers,1974,Frank R. Burns,7,3,1,0.68182,244,146,98
East,Rutgers,1975,Frank R. Burns,9,2,0,0.81818,347,91,256
East,Rutgers,1976,Frank R. Burns,11,0,0,1,287,81,206
East,Rutgers,1977,Frank R. Burns,8,3,0,0.72727,291,181,110
East,Rutgers,1978,Frank R. Burns,9,3,0,0.75,284,165,119
East,Rutgers,1979,Frank R. Burns,8,3,0,0.72727,243,174,69
East,Rutgers,1980,Frank R. Burns,7,4,0,0.63636,279,156,123
East,Rutgers,1981,Frank R. Burns,5,6,0,0.45455,139,208,-69
East,Rutgers,1982,Frank R. Burns,5,6,0,0.45455,180,278,-98
East,Rutgers,1983,Frank R. Burns,3,8,0,0.27273,195,258,-63
East,Rutgers,1984,Dick Anderson,7,3,0,0.7,213,155,58
East,Rutgers,1985,Dick Anderson,2,8,1,0.22727,149,266,-117
East,Rutgers,1986,Dick Anderson,6,4,1,0.59091,221,189,32
East,Rutgers,1987,Dick Anderson,6,5,0,0.54545,168,213,-45
East,Rutgers,1988,Dick Anderson,5,6,0,0.45455,273,255,18
East,Rutgers,1989,Dick Anderson,2,7,2,0.27273,245,319,-74
East,Rutgers,1990,Doug Graber,3,8,0,0.27273,173,302,-129
East,Rutgers,1991,Doug Graber,6,5,0,0.54545,217,217,0
East,Rutgers,1992,Doug Graber,7,4,0,0.63636,341,245,96
East,Rutgers,1993,Doug Graber,4,7,0,0.36364,351,334,17
East,Rutgers,1994,Doug Graber,5,5,1,0.5,241,261,-20
East,Rutgers,1995,Doug Graber,4,7,0,0.36364,304,412,-108
East,Rutgers,1996,Terry Shea,2,9,0,0.18182,143,380,-237
East,Rutgers,1997,Terry Shea,0,11,0,0,191,496,-305
East,Rutgers,1998,Terry Shea,5,6,0,0.45455,206,376,-170
East,Rutgers,1999,Terry Shea,2,9,0,0.18182,155,427,-272
East,Rutgers,2000,Terry Shea,3,8,0,0.27273,233,399,-166
East,Rutgers,2001,Greg Schiano,2,9,0,0.18182,119,397,-278
East,Rutgers,2002,Greg Schiano,1,11,0,0.08333,167,397,-230
East,Rutgers,2003,Greg Schiano,5,7,0,0.41667,329,354,-25
East,Rutgers,2004,Greg Schiano,4,7,0,0.36364,269,343,-74
East,Rutgers,2005,Greg Schiano,7,5,0,0.58333,344,307,37
East,Rutgers,2006,Greg Schiano,11,2,0,0.84615,387,186,201
East,Rutgers,2007,Greg Schiano,8,5,0,0.61538,426,292,134
East,Rutgers,2008,Greg Schiano,8,5,0,0.61538,377,245,132
East,Rutgers,2009,Greg Schiano,9,4,0,0.69231,375,233,142
East,Rutgers,2010,Greg Schiano,4,8,0,0.33333,250,318,-68
East,Rutgers,2011,Greg Schiano,9,4,0,0.69231,343,238,105
East,Rutgers,2012,Kyle Flood,9,4,0,0.69231,279,184,95
East,Rutgers,2013,Kyle Flood,6,7,0,0.46154,345,387,-42
East,Rutgers,2014,Kyle Flood,8,5,0,0.61538,347,392,-45
West,Illinois,1950,Ray Eliot,7,2,0,0.77778,137,56,81
West,Illinois,1951,Ray Eliot,9,0,1,0.95,220,83,137
West,Illinois,1952,Ray Eliot,4,5,0,0.44444,194,175,19
West,Illinois,1953,Ray Eliot,7,1,1,0.83333,228,133,95
West,Illinois,1954,Ray Eliot,1,8,0,0.11111,103,180,-77
West,Illinois,1955,Ray Eliot,5,3,1,0.61111,149,114,35
West,Illinois,1956,Ray Eliot,2,5,2,0.33333,124,154,-30
West,Illinois,1957,Ray Eliot,4,5,0,0.44444,167,133,34
West,Illinois,1958,Ray Eliot,4,5,0,0.44444,144,150,-6
West,Illinois,1959,Ray Eliot,5,3,1,0.61111,111,93,18
West,Illinois,1960,Peter R. Elliott,5,4,0,0.55556,140,117,23
West,Illinois,1961,Peter R. Elliott,0,9,0,0,53,289,-236
West,Illinois,1962,Peter R. Elliott,2,7,0,0.22222,75,234,-159
West,Illinois,1963,Peter R. Elliott,8,1,1,0.85,170,96,74
West,Illinois,1964,Peter R. Elliott,6,3,0,0.66667,142,100,42
West,Illinois,1965,Peter R. Elliott,6,4,0,0.6,235,118,117
West,Illinois,1966,Peter R. Elliott,4,6,0,0.4,173,193,-20
West,Illinois,1967,Jim Valek,4,6,0,0.4,143,213,-70
West,Illinois,1968,Jim Valek,1,9,0,0.1,107,333,-226
West,Illinois,1969,Jim Valek,0,10,0,0,106,397,-291
West,Illinois,1970,Jim Valek,3,7,0,0.3,165,279,-114
West,Illinois,1971,"Robert L. ""Bob"" Blackman",5,6,0,0.45455,163,238,-75
West,Illinois,1972,"Robert L. ""Bob"" Blackman",3,8,0,0.27273,197,277,-80
West,Illinois,1973,"Robert L. ""Bob"" Blackman",5,6,0,0.45455,164,157,7
West,Illinois,1974,"Robert L. ""Bob"" Blackman",6,4,1,0.59091,210,206,4
West,Illinois,1975,"Robert L. ""Bob"" Blackman",5,6,0,0.45455,229,260,-31
West,Illinois,1976,"Robert L. ""Bob"" Blackman",5,6,0,0.45455,235,248,-13
West,Illinois,1977,Gary O. Moeller,3,8,0,0.27273,141,292,-151
West,Illinois,1978,Gary O. Moeller,1,8,2,0.18182,103,317,-214
West,Illinois,1979,Gary O. Moeller,2,8,1,0.22727,156,266,-110
West,Illinois,1980,Mike White,3,7,1,0.31818,241,326,-85
West,Illinois,1981,Mike White,7,4,0,0.63636,287,288,-1
West,Illinois,1982,Mike White,7,5,0,0.58333,338,229,109
West,Illinois,1983,Mike White,10,2,0,0.83333,347,213,134
West,Illinois,1984,Mike White,7,4,0,0.63636,323,209,114
West,Illinois,1985,Mike White,6,5,1,0.54167,304,334,-30
West,Illinois,1986,Mike White,4,7,0,0.36364,189,299,-110
West,Illinois,1987,Mike White,3,7,1,0.31818,153,208,-55
West,Illinois,1988,John Mackovic,6,5,1,0.54167,245,243,2
West,Illinois,1989,John Mackovic,10,2,0,0.83333,332,182,150
West,Illinois,1990,John Mackovic,8,4,0,0.66667,293,246,47
West,Illinois,1991,John Mackovic,6,6,0,0.5,264,188,76
West,Illinois,,Lou Tepper,,,,,,,
West,Illinois,1992,Lou Tepper,6,5,1,0.54167,228,235,-7
West,Illinois,1993,Lou Tepper,5,6,0,0.45455,204,210,-6
West,Illinois,1994,Lou Tepper,7,5,0,0.58333,309,156,153
West,Illinois,1995,Lou Tepper,5,5,1,0.5,193,198,-5
West,Illinois,1996,Lou Tepper,2,9,0,0.18182,190,372,-182
West,Illinois,1997,Ron Turner,0,11,0,0,119,368,-249
West,Illinois,1998,Ron Turner,3,8,0,0.27273,149,326,-177
West,Illinois,1999,Ron Turner,8,4,0,0.66667,388,275,113
West,Illinois,2000,Ron Turner,5,6,0,0.45455,294,286,8
West,Illinois,2001,Ron Turner,10,2,0,0.83333,390,285,105
West,Illinois,2002,Ron Turner,5,7,0,0.41667,346,307,39
West,Illinois,2003,Ron Turner,1,11,0,0.08333,203,398,-195
West,Illinois,2004,Ron Turner,3,8,0,0.27273,240,323,-83
West,Illinois,2005,Ron Zook,2,9,0,0.18182,187,435,-248
West,Illinois,2006,Ron Zook,2,10,0,0.16667,235,321,-86
West,Illinois,2007,Ron Zook,9,4,0,0.69231,362,283,79
West,Illinois,2008,Ron Zook,5,7,0,0.41667,344,319,25
West,Illinois,2009,Ron Zook,3,9,0,0.25,290,362,-72
West,Illinois,2010,Ron Zook,7,6,0,0.53846,423,305,118
West,Illinois,2011,Ron Zook,7,6,0,0.53846,294,255,39
West,Illinois,,Vic Koenning,,,,,,,
West,Illinois,2012,Tim Beckman,2,10,0,0.16667,200,385,-185
West,Illinois,2013,Tim Beckman,4,8,0,0.33333,356,425,-69
West,Illinois,2014,Tim Beckman,6,7,0,0.46154,337,442,-105
West,Iowa,1950,Leonard Raffensperger,3,5,1,0.38889,121,201,-80
West,Iowa,1951,Leonard Raffensperger,2,5,2,0.33333,161,233,-72
West,Iowa,1952,Forest Evashevski,2,7,0,0.22222,121,220,-99
West,Iowa,1953,Forest Evashevski,5,3,1,0.61111,187,91,96
West,Iowa,1954,Forest Evashevski,5,4,0,0.55556,192,141,51
West,Iowa,1955,Forest Evashevski,3,5,1,0.38889,166,173,-7
West,Iowa,1956,Forest Evashevski,9,1,0,0.9,219,84,135
West,Iowa,1957,Forest Evashevski,7,1,1,0.83333,263,112,151
West,Iowa,1958,Forest Evashevski,8,1,1,0.85,272,146,126
West,Iowa,1959,Forest Evashevski,5,4,0,0.55556,233,100,133
West,Iowa,1960,Forest Evashevski,8,1,0,0.88889,234,108,126
West,Iowa,1961,Jerry Burns,5,4,0,0.55556,215,162,53
West,Iowa,1962,Jerry Burns,4,5,0,0.44444,127,166,-39
West,Iowa,1963,Jerry Burns,3,3,2,0.5,126,112,14
West,Iowa,1964,Jerry Burns,3,6,0,0.33333,170,209,-39
West,Iowa,1965,Jerry Burns,1,9,0,0.1,94,192,-98
West,Iowa,1966,"Raymond R. ""Ray"" Nagel",2,8,0,0.2,86,253,-167
West,Iowa,1967,"Raymond R. ""Ray"" Nagel",1,8,1,0.15,161,277,-116
West,Iowa,1968,"Raymond R. ""Ray"" Nagel",5,5,0,0.5,322,289,33
West,Iowa,1969,"Raymond R. ""Ray"" Nagel",5,5,0,0.5,255,275,-20
West,Iowa,1970,"Raymond R. ""Ray"" Nagel",3,6,1,0.35,129,259,-130
West,Iowa,1971,Frank X. Lauterbur,1,10,0,0.09091,121,379,-258
West,Iowa,1972,Frank X. Lauterbur,3,7,1,0.31818,109,208,-99
West,Iowa,1973,Frank X. Lauterbur,0,11,0,0,140,401,-261
West,Iowa,1974,Bob Commings,3,8,0,0.27273,157,308,-151
West,Iowa,1975,Bob Commings,3,8,0,0.27273,182,279,-97
West,Iowa,1976,Bob Commings,5,6,0,0.45455,161,234,-73
West,Iowa,1977,Bob Commings,5,6,0,0.45455,171,229,-58
West,Iowa,1978,Bob Commings,2,9,0,0.18182,125,291,-166
West,Iowa,1979,Hayden Fry,5,6,0,0.45455,239,216,23
West,Iowa,1980,Hayden Fry,4,7,0,0.36364,154,238,-84
West,Iowa,1981,Hayden Fry,8,4,0,0.66667,260,157,103
West,Iowa,1982,Hayden Fry,8,4,0,0.66667,229,230,-1
West,Iowa,1983,Hayden Fry,9,3,0,0.75,380,189,191
West,Iowa,1984,Hayden Fry,8,4,1,0.65385,359,201,158
West,Iowa,1985,Hayden Fry,10,2,0,0.83333,440,187,253
West,Iowa,1986,Hayden Fry,9,3,0,0.75,391,214,177
West,Iowa,1987,Hayden Fry,10,3,0,0.76923,380,250,130
West,Iowa,1988,Hayden Fry,6,4,3,0.57692,336,233,103
West,Iowa,1989,Hayden Fry,5,6,0,0.45455,197,278,-81
West,Iowa,1990,Hayden Fry,8,4,0,0.66667,427,288,139
West,Iowa,1991,Hayden Fry,10,1,1,0.875,343,179,164
West,Iowa,1992,Hayden Fry,5,7,0,0.41667,243,278,-35
West,Iowa,1993,Hayden Fry,6,6,0,0.5,214,293,-79
West,Iowa,1994,Hayden Fry,5,5,1,0.5,307,324,-17
West,Iowa,1995,Hayden Fry,8,4,0,0.66667,368,259,109
West,Iowa,1996,Hayden Fry,9,3,0,0.75,339,243,96
West,Iowa,1997,Hayden Fry,7,5,0,0.58333,411,159,252
West,Iowa,1998,Hayden Fry,3,8,0,0.27273,172,287,-115
West,Iowa,1999,Kirk Ferentz,1,10,0,0.09091,162,347,-185
West,Iowa,2000,Kirk Ferentz,3,9,0,0.25,203,330,-127
West,Iowa,2001,Kirk Ferentz,7,5,0,0.58333,391,258,133
West,Iowa,2002,Kirk Ferentz,11,2,0,0.84615,484,256,228
West,Iowa,2003,Kirk Ferentz,10,3,0,0.76923,373,210,163
West,Iowa,2004,Kirk Ferentz,10,2,0,0.83333,292,211,81
West,Iowa,2005,Kirk Ferentz,7,5,0,0.58333,360,240,120
West,Iowa,2006,Kirk Ferentz,6,7,0,0.46154,310,269,41
West,Iowa,2007,Kirk Ferentz,6,6,0,0.5,222,225,-3
West,Iowa,2008,Kirk Ferentz,9,4,0,0.69231,394,169,225
West,Iowa,2009,Kirk Ferentz,11,2,0,0.84615,301,200,101
West,Iowa,2010,Kirk Ferentz,8,5,0,0.61538,376,221,155
West,Iowa,2011,Kirk Ferentz,7,6,0,0.53846,358,310,48
West,Iowa,2012,Kirk Ferentz,4,8,0,0.33333,232,275,-43
West,Iowa,2013,Kirk Ferentz,8,5,0,0.61538,342,246,96
West,Iowa,2014,Kirk Ferentz,7,6,0,0.53846,367,333,34
West,Minnesota,1950,"Bernard W. ""Bernie"" Bierman",1,7,1,0.16667,79,196,-117
West,Minnesota,1951,"Wesley E. ""Wes"" Fesler",2,6,1,0.27778,162,258,-96
West,Minnesota,1952,"Wesley E. ""Wes"" Fesler",4,3,2,0.55556,131,171,-40
West,Minnesota,1953,"Wesley E. ""Wes"" Fesler",4,4,1,0.5,150,160,-10
West,Minnesota,1954,Murray Warmath,7,2,0,0.77778,195,127,68
West,Minnesota,1955,Murray Warmath,3,6,0,0.33333,110,172,-62
West,Minnesota,1956,Murray Warmath,6,1,2,0.77778,127,87,40
West,Minnesota,1957,Murray Warmath,4,5,0,0.44444,201,188,13
West,Minnesota,1958,Murray Warmath,1,8,0,0.11111,115,157,-42
West,Minnesota,1959,Murray Warmath,2,7,0,0.22222,98,159,-61
West,Minnesota,1960,Murray Warmath,8,2,0,0.8,228,88,140
West,Minnesota,1961,Murray Warmath,8,2,0,0.8,161,78,83
West,Minnesota,1962,Murray Warmath,6,2,1,0.72222,131,61,70
West,Minnesota,1963,Murray Warmath,3,6,0,0.33333,95,117,-22
West,Minnesota,1964,Murray Warmath,5,4,0,0.55556,136,131,5
West,Minnesota,1965,Murray Warmath,5,4,1,0.55,188,160,28
West,Minnesota,1966,Murray Warmath,4,5,1,0.45,124,160,-36
West,Minnesota,1967,Murray Warmath,8,2,0,0.8,163,106,57
West,Minnesota,1968,Murray Warmath,6,4,0,0.6,207,190,17
West,Minnesota,1969,Murray Warmath,4,5,1,0.45,210,260,-50
West,Minnesota,1970,Murray Warmath,3,6,1,0.35,180,237,-57
West,Minnesota,1971,Murray Warmath,4,7,0,0.36364,212,278,-66
West,Minnesota,1972,Cal Stoll,4,7,0,0.36364,185,304,-119
West,Minnesota,1973,Cal Stoll,7,4,0,0.63636,260,295,-35
West,Minnesota,1974,Cal Stoll,4,7,0,0.36364,161,332,-171
West,Minnesota,1975,Cal Stoll,6,5,0,0.54545,236,192,44
West,Minnesota,1976,Cal Stoll,6,5,0,0.54545,201,211,-10
West,Minnesota,1977,Cal Stoll,7,5,0,0.58333,171,180,-9
West,Minnesota,1978,Cal Stoll,5,6,0,0.45455,210,267,-57
West,Minnesota,1979,Joe Salem,4,6,1,0.40909,264,271,-7
West,Minnesota,1980,Joe Salem,5,6,0,0.45455,210,250,-40
West,Minnesota,1981,Joe Salem,6,5,0,0.54545,274,264,10
West,Minnesota,1982,Joe Salem,3,8,0,0.27273,247,295,-48
West,Minnesota,1983,Joe Salem,1,10,0,0.09091,181,518,-337
West,Minnesota,1984,Lou Holtz,4,7,0,0.36364,194,316,-122
West,Minnesota,1985,Lou Holtz,7,5,0,0.58333,293,240,53
West,Minnesota,1986,John Gutekunst,6,6,0,0.5,261,316,-55
West,Minnesota,1987,John Gutekunst,6,5,0,0.54545,257,262,-5
West,Minnesota,1988,John Gutekunst,2,7,2,0.27273,195,246,-51
West,Minnesota,1989,John Gutekunst,6,5,0,0.54545,263,283,-20
West,Minnesota,1990,John Gutekunst,6,5,0,0.54545,224,281,-57
West,Minnesota,1991,John Gutekunst,2,9,0,0.18182,104,302,-198
West,Minnesota,1992,Jim Wacker,2,9,0,0.18182,200,313,-113
West,Minnesota,1993,Jim Wacker,4,7,0,0.36364,253,354,-101
West,Minnesota,1994,Jim Wacker,3,8,0,0.27273,256,348,-92
West,Minnesota,1995,Jim Wacker,3,8,0,0.27273,272,368,-96
West,Minnesota,1996,Jim Wacker,4,7,0,0.36364,236,340,-104
West,Minnesota,1997,Glen Mason,3,9,0,0.25,238,334,-96
West,Minnesota,1998,Glen Mason,5,6,0,0.45455,229,249,-20
West,Minnesota,1999,Glen Mason,8,4,0,0.66667,368,196,172
West,Minnesota,2000,Glen Mason,6,6,0,0.5,375,318,57
West,Minnesota,2001,Glen Mason,4,7,0,0.36364,308,299,9
West,Minnesota,2002,Glen Mason,8,5,0,0.61538,376,319,57
West,Minnesota,2003,Glen Mason,10,3,0,0.76923,503,285,218
West,Minnesota,2004,Glen Mason,7,5,0,0.58333,361,273,88
West,Minnesota,2005,Glen Mason,7,5,0,0.58333,429,348,81
West,Minnesota,2006,Glen Mason,6,7,0,0.46154,376,338,38
West,Minnesota,2007,Tim Brewster,1,11,0,0.08333,315,440,-125
West,Minnesota,2008,Tim Brewster,7,6,0,0.53846,302,322,-20
West,Minnesota,2009,Tim Brewster,6,7,0,0.46154,272,309,-37
West,Minnesota,2010,Tim Brewster,3,9,0,0.25,278,396,-118
West,Minnesota,,Jeff Horton,,,,,,,
West,Minnesota,2011,Jerry Kill,3,9,0,0.25,221,380,-159
West,Minnesota,2012,Jerry Kill,6,7,0,0.46154,287,321,-34
West,Minnesota,2013,Jerry Kill,8,5,0,0.61538,334,289,45
West,Minnesota,,Tracy Claeys,,,,,,,
West,Minnesota,2014,Jerry Kill,8,5,0,0.61538,369,314,55
West,Nebraska,1950,"J. William ""Bill"" Glassford",6,2,1,0.72222,267,217,50
West,Nebraska,1951,"J. William ""Bill"" Glassford",2,8,0,0.2,121,259,-138
West,Nebraska,1952,"J. William ""Bill"" Glassford",5,4,1,0.55,173,123,50
West,Nebraska,1953,"J. William ""Bill"" Glassford",3,6,1,0.35,119,184,-65
West,Nebraska,1954,"J. William ""Bill"" Glassford",6,5,0,0.54545,233,202,31
West,Nebraska,1955,"J. William ""Bill"" Glassford",5,5,0,0.5,127,176,-49
West,Nebraska,1956,Peter R. Elliott,4,6,0,0.4,125,206,-81
West,Nebraska,1957,Bill Jennings,1,9,0,0.1,67,243,-176
West,Nebraska,1958,Bill Jennings,3,7,0,0.3,71,235,-164
West,Nebraska,1959,Bill Jennings,4,6,0,0.4,108,160,-52
West,Nebraska,1960,Bill Jennings,4,6,0,0.4,95,164,-69
West,Nebraska,1961,Bill Jennings,3,6,1,0.35,119,135,-16
West,Nebraska,1962,"Robert S. ""Bob"" Devaney",9,2,0,0.81818,293,161,132
West,Nebraska,1963,"Robert S. ""Bob"" Devaney",10,1,0,0.90909,273,114,159
West,Nebraska,1964,"Robert S. ""Bob"" Devaney",9,2,0,0.81818,256,85,171
West,Nebraska,1965,"Robert S. ""Bob"" Devaney",10,1,0,0.90909,349,129,220
West,Nebraska,1966,"Robert S. ""Bob"" Devaney",9,2,0,0.81818,223,118,105
West,Nebraska,1967,"Robert S. ""Bob"" Devaney",6,4,0,0.6,127,83,44
West,Nebraska,1968,"Robert S. ""Bob"" Devaney",6,4,0,0.6,155,161,-6
West,Nebraska,1969,"Robert S. ""Bob"" Devaney",9,2,0,0.81818,254,119,135
West,Nebraska,1970,"Robert S. ""Bob"" Devaney",11,0,1,0.95833,426,189,237
West,Nebraska,1971,"Robert S. ""Bob"" Devaney",13,0,0,1,507,104,403
West,Nebraska,1972,"Robert S. ""Bob"" Devaney",9,2,1,0.79167,501,97,404
West,Nebraska,1973,Tom Osborne,9,2,1,0.79167,306,163,143
West,Nebraska,1974,Tom Osborne,9,3,0,0.75,373,132,241
West,Nebraska,1975,Tom Osborne,10,2,0,0.83333,367,137,230
West,Nebraska,1976,Tom Osborne,9,3,1,0.73077,416,181,235
West,Nebraska,1977,Tom Osborne,9,3,0,0.75,315,200,115
West,Nebraska,1978,Tom Osborne,9,3,0,0.75,444,216,228
West,Nebraska,1979,Tom Osborne,10,2,0,0.83333,380,131,249
West,Nebraska,1980,Tom Osborne,10,2,0,0.83333,470,110,360
West,Nebraska,1981,Tom Osborne,9,3,0,0.75,364,125,239
West,Nebraska,1982,Tom Osborne,12,1,0,0.92308,514,167,347
West,Nebraska,1983,Tom Osborne,12,1,0,0.92308,654,217,437
West,Nebraska,1984,Tom Osborne,10,2,0,0.83333,387,115,272
West,Nebraska,1985,Tom Osborne,9,3,0,0.75,421,163,258
West,Nebraska,1986,Tom Osborne,10,2,0,0.83333,446,165,281
West,Nebraska,1987,Tom Osborne,10,2,0,0.83333,451,164,287
West,Nebraska,1988,Tom Osborne,11,2,0,0.84615,477,205,272
West,Nebraska,1989,Tom Osborne,10,2,0,0.83333,509,215,294
West,Nebraska,1990,Tom Osborne,9,3,0,0.75,434,192,242
West,Nebraska,1991,Tom Osborne,9,2,1,0.79167,454,230,224
West,Nebraska,1992,Tom Osborne,9,3,0,0.75,441,199,242
West,Nebraska,1993,Tom Osborne,11,1,0,0.91667,437,194,243
West,Nebraska,1994,Tom Osborne,13,0,0,1,459,162,297
West,Nebraska,1995,Tom Osborne,12,0,0,1,638,174,464
West,Nebraska,1996,Tom Osborne,11,2,0,0.84615,553,174,379
West,Nebraska,1997,Tom Osborne,13,0,0,1,607,214,393
West,Nebraska,1998,Frank Solich,9,4,0,0.69231,403,206,197
West,Nebraska,1999,Frank Solich,12,1,0,0.92308,442,171,271
West,Nebraska,2000,Frank Solich,10,2,0,0.83333,522,230,292
West,Nebraska,2001,Frank Solich,11,2,0,0.84615,463,226,237
West,Nebraska,2002,Frank Solich,7,7,0,0.5,383,335,48
West,Nebraska,2003,Frank Solich,10,3,0,0.76923,322,188,134
West,Nebraska,2004,Bill Callahan,5,6,0,0.45455,275,298,-23
West,Nebraska,2005,Bill Callahan,8,4,0,0.66667,296,252,44
West,Nebraska,2006,Bill Callahan,9,5,0,0.64286,428,256,172
West,Nebraska,2007,Bill Callahan,5,7,0,0.41667,401,455,-54
West,Nebraska,2008,Bo Pelini,9,4,0,0.69231,460,371,89
West,Nebraska,2009,Bo Pelini,10,4,0,0.71429,352,146,206
West,Nebraska,2010,Bo Pelini,10,4,0,0.71429,432,243,189
West,Nebraska,2011,Bo Pelini,9,4,0,0.69231,379,304,75
West,Nebraska,2012,Bo Pelini,10,4,0,0.71429,487,386,101
West,Nebraska,2013,Bo Pelini,9,4,0,0.69231,415,323,92
West,Nebraska,2014,Bo Pelini,9,4,0,0.69231,491,343,148
West,Northwestern,1950,"Robert W. ""Bob"" Voigts",6,3,0,0.66667,155,143,12
West,Northwestern,1951,"Robert W. ""Bob"" Voigts",5,4,0,0.55556,112,124,-12
West,Northwestern,1952,"Robert W. ""Bob"" Voigts",2,6,1,0.27778,166,252,-86
West,Northwestern,1953,"Robert W. ""Bob"" Voigts",3,6,0,0.33333,166,205,-39
West,Northwestern,1954,"Robert W. ""Bob"" Voigts",2,7,0,0.22222,101,142,-41
West,Northwestern,1955,"Louis Henry ""Lou"" Saban",0,8,1,0.05556,66,241,-175
West,Northwestern,1956,Ara R. Parseghian,4,4,1,0.5,107,112,-5
West,Northwestern,1957,Ara R. Parseghian,0,9,0,0,57,271,-214
West,Northwestern,1958,Ara R. Parseghian,5,4,0,0.55556,199,148,51
West,Northwestern,1959,Ara R. Parseghian,6,3,0,0.66667,174,134,40
West,Northwestern,1960,Ara R. Parseghian,5,4,0,0.55556,107,103,4
West,Northwestern,1961,Ara R. Parseghian,4,5,0,0.44444,131,105,26
West,Northwestern,1962,Ara R. Parseghian,7,2,0,0.77778,237,158,79
West,Northwestern,1963,Ara R. Parseghian,5,4,0,0.55556,162,124,38
West,Northwestern,1964,Alex Agase,3,6,0,0.33333,95,164,-69
West,Northwestern,1965,Alex Agase,4,6,0,0.4,141,208,-67
West,Northwestern,1966,Alex Agase,3,6,1,0.35,137,213,-76
West,Northwestern,1967,Alex Agase,3,7,0,0.3,149,213,-64
West,Northwestern,1968,Alex Agase,1,9,0,0.1,109,325,-216
West,Northwestern,1969,Alex Agase,3,7,0,0.3,137,306,-169
West,Northwestern,1970,Alex Agase,6,4,0,0.6,233,161,72
West,Northwestern,1971,Alex Agase,7,4,0,0.63636,211,183,28
