Title,US Gross,Worldwide Gross,Budget,Release,MPAA Rating,Running Time,Distributor,Source,Genre,Type,Director,Rotten Tomatoes,IMDB Rating,IMDB Votes,Cluster
Double Jeopardy,116735231,177835231,40000000,9/24/99,R,105,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Bruce Beresford,25,6,28887,#3
Toy Story 2,245852179,484966906,90000000,11/19/99,G,92,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,John Lasseter,100,8,119357,#1
The World is Not Enough,126930660,361730660,135000000,11/19/99,PG-13,125,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Michael Apted,51,6.3,59406,#4
Sleepy Hollow,101068340,207068340,70000000,11/19/99,R,105,Paramount Pictures,Based on Book/Short Story,Horror,Historical Fiction,Tim Burton,68,7.5,107511,#3
End of Days,66889043,212026975,100000000,11/24/99,R,120,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11,5.4,43513,#5
The Green Mile,136801374,286601374,60000000,12/10/99,R,187,Warner Bros.,Based on Book/Short Story,Drama,Fantasy,Frank Darabont,77,8.4,198916,#3
Stuart Little,140015224,298800000,105000000,12/17/99,PG,92,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,65,5.8,23226,#2
Erin Brockovich,125548685,258400000,50000000,3/17/00,R,133,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83,7.2,54977,#3
Gladiator,187683805,457683805,103000000,5/5/00,R,150,Sony Pictures,Original Screenplay,Action,Historical Fiction,Ridley Scott,77,8.3,279512,#4
Dinosaur,137748063,356148063,127500000,5/19/00,PG,82,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,65,6.2,13962,#2
Mission: Impossible 2,215409889,546209889,120000000,5/24/00,PG-13,124,Paramount Pictures,Based on TV,Action,Contemporary Fiction,John Woo,,6.9,86222,#4
Big Momma's House,117559438,173559438,33000000,6/2/00,PG-13,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Raja Gosnell,30,4.7,21318,#5
Gone in 60 Seconds,101643008,232643008,103300000,6/9/00,PG-13,118,,,,,,,6.4,2940,#4
Chicken Run,106793915,227793915,42000000,6/21/00,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,96,7.3,48307,#5
The Patriot,113330342,215300000,110000000,6/28/00,R,165,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Roland Emmerich,62,6.9,78302,#3
The Perfect Storm,182618434,328711434,120000000,6/30/00,PG-13,130,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Wolfgang Petersen,47,6.2,55716,#4
Scary Movie,157019771,277200000,19000000,7/7/00,R,88,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53,6,68541,#3
X-Men,157299717,334627820,75000000,7/14/00,PG-13,104,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Bryan Singer,82,7.4,120706,#4
What Lies Beneath,155464351,288693989,90000000,7/21/00,PG-13,130,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Robert Zemeckis,45,6.5,45633,#3
Hollow Man,73209340,191200000,90000000,8/4/00,R,112,Sony Pictures,Original Screenplay,Horror,Science Fiction,Paul Verhoeven,28,5.5,41499,#3
Meet the Parents,166225040,301500000,55000000,10/6/00,PG-13,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,84,7,84924,#2
Charlie's Angels,125305545,263200000,90000000,11/3/00,PG-13,98,Sony Pictures,Based on TV,Adventure,Contemporary Fiction,Joseph McGinty Nichol,67,5.5,60791,#5
How the Grinch Stole Christmas,260044825,345141403,123000000,11/17/00,PG,104,Universal,Based on Book/Short Story,Comedy,Kids Fiction,Ron Howard,53,5.7,40310,#2
Unbreakable,94999143,248099143,73243106,11/22/00,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Super Hero,M. Night Shyamalan,68,7.3,97324,#5
Vertical Limit,68473360,213500000,75000000,12/8/00,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Campbell,47,5.6,24294,#5
"Crouching Tiger, Hidden Dragon",128067808,213200000,15000000,12/8/00,PG-13,120,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,,,,#3
What Women Want,182805123,372100000,65000000,12/15/00,PG-13,127,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,53,6.3,54525,#5
The Emperor's New Groove,89296573,169296573,100000000,12/15/00,G,78,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85,7.4,23355,#5
Cast Away,233632142,427230516,85000000,12/22/00,PG-13,144,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Robert Zemeckis,89,7.5,102936,#4
Miss Congeniality,106807667,212100000,45000000,12/22/00,PG-13,110,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,41,6.1,42323,#3
Traffic,124107476,208300000,48000000,12/27/00,R,147,USA Films,Based on TV,Drama,Contemporary Fiction,Steven Soderbergh,91,7.8,85759,#3
Hannibal,165092266,350100280,87000000,2/9/01,R,131,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4,74862,#3
Spy Kids,112692062,197692062,35000000,3/30/01,PG,88,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,93,5.7,23479,#5
Bridget Jones's Diary,71500556,281527158,25000000,4/13/01,R,97,Miramax,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,80,6.8,58213,#3
The Mummy Returns,202007640,433007640,98000000,5/4/01,PG-13,129,Universal,Remake,Adventure,Fantasy,Stephen Sommers,47,6.2,68084,#4
Shrek,267655011,484399218,50000000,5/18/01,PG,90,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,8,163855,#1
Moulin Rouge,57386369,179213196,53000000,5/18/01,PG-13,123,20th Century Fox,Original Screenplay,Musical,Historical Fiction,Baz Luhrmann,,7.3,2105,#5
Pearl Harbor,198539855,449239855,151500000,5/25/01,PG-13,183,Walt Disney Pictures,Based on Real Life Events,Action,Dramatization,Michael Bay,26,5.4,96186,#4
Atlantis: The Lost Empire,84052762,186049020,90000000,6/8/01,PG,96,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Gary Trousdale,,6.4,15552,#2
Lara Croft: Tomb Raider,131144183,274644183,94000000,6/15/01,PG-13,101,Paramount Pictures,Based on Game,Adventure,Contemporary Fiction,Simon West,,5.4,55582,#2
The Fast and the Furious,144512310,206512310,38000000,6/22/01,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53,6,67939,#5
Doctor Dolittle 2,112950721,176101721,72000000,6/22/01,PG,87,20th Century Fox,Remake,Comedy,Kids Fiction,Steve Carr,,6,2993,#5
Artificial Intelligence: AI,78616689,235900000,90000000,6/29/01,PG-13,146,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Steven Spielberg,,6.9,91901,#3
Cats & Dogs,93375151,200700000,60000000,7/4/01,PG,91,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,53,5.2,16912,#5
Jurassic Park 3,181166115,365900000,93000000,7/18/01,PG-13,92,Universal,Based on Book/Short Story,Action,Science Fiction,Joe Johnston,,7.9,151365,#4
Planet of the Apes,180011740,362211740,100000000,7/27/01,PG-13,120,20th Century Fox,Remake,Adventure,Science Fiction,Tim Burton,44,5.5,72763,#4
Rush Hour 2,226164286,347425832,90000000,8/3/01,PG-13,90,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,51,6.4,52049,#4
The Princess Diaries,108244774,165334774,30000000,8/3/01,G,115,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9,23486,#5
American Pie 2,145096820,286500000,30000000,8/10/01,R,105,Universal,Original Screenplay,Comedy,Contemporary Fiction,,52,6.2,66751,#3
The Others,96522687,209947037,17000000,8/10/01,PG-13,104,Miramax,Original Screenplay,Horror,Historical Fiction,,84,7.8,86091,#3
"Monsters, Inc.",255870172,526864330,115000000,11/2/01,G,95,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,David Silverman,95,7.4,39908,#1
Le Fabuleux destin d'Amíšlie Poulain,33201661,174201661,10350000,11/2/01,R,122,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Jean-Pierre Jeunet,,8.5,181085,#3
Harry Potter and the Sorcerer's Stone,317557891,976457891,125000000,11/16/01,PG,152,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,,7.2,132238,#1
Ocean's Eleven,183417150,450728529,110000000,12/7/01,PG-13,116,Warner Bros.,Remake,Comedy,Contemporary Fiction,Steven Soderbergh,81,7.6,139034,#2
Vanilla Sky,100614858,202726605,70000000,12/14/01,R,136,Paramount Pictures,Remake,Thriller/Suspense,Contemporary Fiction,Cameron Crowe,39,6.9,87820,#3
The Lord of the Rings: The Fellowship of the Ring,314776170,868621686,109000000,12/19/01,PG-13,178,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.8,387438,#1
A Beautiful Mind,170708996,316708996,78000000,12/21/01,PG-13,135,Universal,Based on Magazine Article,Drama,Dramatization,Ron Howard,78,8,126067,#3
Black Hawk Down,108638745,173638745,95000000,12/28/01,R,144,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76,7.7,98653,#3
Ice Age,176387405,383257136,65000000,3/15/02,PG,81,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4,75552,#2
Panic Room,95308367,196308367,48000000,3/29/02,R,112,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9,68737,#3
My Big Fat Greek Wedding,241438208,368744044,5000000,4/19/02,PG,95,IFC Films,Based on Play,Romantic Comedy,Contemporary Fiction,Joel Zwick,75,6.6,46548,#2
The Scorpion King,90580000,164529000,60000000,4/19/02,PG-13,91,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40,5.3,30359,#5
Spider-Man,403706375,821708551,139000000,5/3/02,PG-13,121,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89,7.4,167524,#1
Star Wars Ep. II: Attack of the Clones,310676740,656695615,115000000,5/16/02,PG,142,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,#1
The Sum of All Fears,118471320,193500000,68000000,5/31/02,PG-13,124,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phil Alden Robinson,59,6.3,38586,#3
Scooby-Doo,153294164,276294164,84000000,6/14/02,PG,86,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,28,4.7,26018,#2
The Bourne Identity,121468960,213300000,60000000,6/14/02,PG-13,110,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7,122597,#3
Minority Report,132024714,358824714,102000000,6/21/02,PG-13,145,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,91,7.7,135142,#4
Lilo & Stitch,145771527,245800000,80000000,6/21/02,PG,85,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,,7.1,25611,#2
Mr. Deeds,126293452,171269535,50000000,6/28/02,PG-13,96,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,,22,5.5,39756,#5
Men in Black 2,190418803,441818803,140000000,7/3/02,PG-13,88,Sony Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,Barry Sonnenfeld,,7.4,467,#4
The Road to Perdition,104054514,181054514,80000000,7/12/02,R,117,Dreamworks SKG,Based on Comic/Graphic Novel,Drama,Historical Fiction,Sam Mendes,,,,#3
Stuart Little 2,64956806,166000000,120000000,7/19/02,PG,78,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,83,5.6,7534,#5
Austin Powers in Goldmember,213117789,292738626,63000000,7/25/02,PG-13,94,New Line,Original Screenplay,Comedy,Science Fiction,Jay Roach,54,6.2,69140,#2
Signs,227965690,408265690,70702619,8/2/02,PG-13,106,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9,111561,#2
xXx,141930000,267200000,70000000,8/9/02,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,48,5.5,52636,#5
Spirited Away,10049886,274949886,19000000,9/20/02,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,Hayao Miyazaki,,,,#5
Sweet Home Alabama,127214072,163379330,38000000,9/27/02,PG-13,109,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Tennant,37,5.8,29891,#5
Red Dragon,92955420,206455420,78000000,10/4/02,R,125,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68,7.3,66386,#3
The Ring,129094024,249094024,48000000,10/18/02,PG-13,115,Dreamworks SKG,Remake,Horror,Contemporary Fiction,Gore Verbinski,71,5.5,589,#2
The Santa Clause 2,139225854,172825854,65000000,11/1/02,G,104,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Michael Lembeck,,5.5,9061,#2
8 Mile,116724075,242924075,41000000,11/8/02,R,110,Universal,Original Screenplay,Drama,Contemporary Fiction,Curtis Hanson,74,6.7,55877,#3
Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,11/15/02,PG,161,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2,120063,#1
Die Another Day,160942139,431942139,142000000,11/22/02,PG-13,133,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Lee Tamahori,59,6,67476,#4
The Lord of the Rings: The Two Towers,341784377,926284377,94000000,12/18/02,PG-13,179,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.7,326950,#1
Two Weeks Notice,93354918,199043309,60000000,12/20/02,PG-13,110,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42,5.8,35515,#5
Gangs of New York,77730500,190400000,97000000,12/20/02,R,168,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4,113378,#3
Catch Me if You Can,164606800,351106800,52000000,12/25/02,PG-13,141,Dreamworks SKG,Based on Book/Short Story,Drama,Dramatization,Steven Spielberg,96,5.7,224,#3
Chicago,170687518,307687518,30000000,12/27/02,PG-13,113,Miramax,Based on Musical/Opera,Musical,Historical Fiction,Rob Marshall,88,7.2,82650,#3
How to Lose a Guy in 10 Days,105807520,177079973,50000000,2/7/03,PG-13,116,Paramount Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Donald Petrie,43,6.1,33866,#3
Daredevil,102543518,179179718,80000000,2/14/03,PG-13,105,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,44,5.5,63574,#4
Bringing Down the House,132675402,164675402,20000000,3/7/03,PG-13,105,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,34,5.4,16242,#5
Anger Management,135560942,195660942,56000000,4/11/03,PG-13,106,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,43,6.1,57088,#5
X2,214949694,407711549,125000000,5/2/03,PG-13,133,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Bryan Singer,,7.8,112320,#4
Daddy Day Care,104148781,164285587,60000000,5/9/03,PG,92,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28,5.5,14944,#5
The Matrix Reloaded,281553689,738576929,127000000,5/15/03,R,138,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,73,7.1,148874,#4
Bruce Almighty,242704995,485004995,81000000,5/23/03,PG-13,101,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,48,6.6,92494,#2
Finding Nemo,339714978,867894287,94000000,5/30/03,G,100,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98,8.2,165006,#1
The Italian Job,106126012,175826012,60000000,5/30/03,PG-13,111,Paramount Pictures,Remake,Adventure,Contemporary Fiction,F. Gary Gray,73,6.9,76835,#3
2 Fast 2 Furious,127120058,236220058,76000000,6/6/03,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36,5.1,44151,#5
Hulk,132177234,245360480,137000000,6/20/03,PG-13,138,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Ang Lee,62,5.7,70844,#4
Charlie's Angels: Full Throttle,100814328,227200000,120000000,6/27/03,PG-13,106,Sony Pictures,Based on TV,Action,Contemporary Fiction,Joseph McGinty Nichol,,4.7,43942,#5
Terminator 3: Rise of the Machines,150358296,433058296,170000000,7/1/03,R,109,Warner Bros.,Original Screenplay,Action,Science Fiction,Jonathan Mostow,,6.6,107667,#4
Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,125000000,7/9/03,PG-13,143,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,,8,232719,#1
The League of Extraordinary Gentlemen,66465204,179265204,78000000,7/11/03,PG-13,110,20th Century Fox,Based on Comic/Graphic Novel,Adventure,Super Hero,Stephen Norrington,17,5.5,50710,#5
Bad Boys II,138540870,272940870,130000000,7/18/03,R,147,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,24,6.2,58002,#4
Spy Kids 3-D: Game Over,111760631,167851995,40000000,7/25/03,PG,84,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,,4.1,12352,#5
S.W.A.T.,116877597,198100000,70000000,8/8/03,PG-13,117,Sony Pictures,Based on TV,Action,Contemporary Fiction,,48,5.9,43260,#5
Kill Bill: Volume 1,70098138,180098138,55000000,10/10/03,R,111,Miramax,Original Screenplay,Action,Contemporary Fiction,Quentin Tarantino,85,8.2,231761,#3
The Matrix Revolutions,139259759,424259759,110000000,11/5/03,R,129,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,37,6.5,123347,#4
Love Actually,59472278,247967903,45000000,11/7/03,R,135,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,63,7.9,97921,#5
Elf,173398518,220443451,32000000,11/7/03,PG,95,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84,6.8,42123,#2
Master and Commander: The Far Side of the World,93926386,209486484,135000000,11/14/03,PG-13,138,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Peter Weir,85,7.5,63632,#4
The Last Samurai,111110575,456810575,120000000,12/5/03,R,154,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,65,7.8,106002,#4
Something's Gotta Give,124685242,266685242,80000000,12/12/03,PG-13,128,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,70,6.8,36303,#5
The Lord of the Rings: The Return of the King,377027325,1133027325,94000000,12/17/03,PG-13,201,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.8,364077,#1
Cheaper by the Dozen,138614544,189714544,40000000,12/25/03,PG,98,20th Century Fox,Remake,Comedy,Contemporary Fiction,Shawn Levy,24,5.6,24283,#2
Along Came Polly,88073507,170360435,42000000,1/16/04,PG-13,90,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,26,5.8,38276,#5
50 First Dates,120776832,196376832,75000000,2/13/04,PG-13,99,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Segal,44,6.8,64701,#5
The Passion of the Christ,370782930,611899420,25000000,2/25/04,R,127,Newmarket Films,Based on Book/Short Story,Drama,Dramatization,Mel Gibson,50,7.1,87326,#2
Starsky & Hutch,88200225,170200225,60000000,3/5/04,PG-13,101,Warner Bros.,Based on TV,Comedy,Historical Fiction,Todd Phillips,64,6.2,48935,#3
Scooby-Doo 2: Monsters Unleashed,84185387,181185387,25000000,3/26/04,PG,93,Warner Bros.,Based on TV,Comedy,Kids Fiction,Raja Gosnell,,4.8,10749,#5
Van Helsing,120150546,300150546,170000000,5/7/04,PG-13,132,Universal,Original Screenplay,Action,Historical Fiction,Stephen Sommers,22,5.5,68846,#4
Troy,133298577,497398577,150000000,5/14/04,R,163,Warner Bros.,Based on Book/Short Story,Action,Historical Fiction,Wolfgang Petersen,54,7,129575,#4
Shrek 2,441226247,919838758,70000000,5/19/04,PG,92,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,7.5,95658,#1
The Day After Tomorrow,186740799,544272402,125000000,5/28/04,PG-13,124,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,46,6.3,92241,#4
Harry Potter and the Prisoner of Azkaban,249538952,795538952,130000000,6/4/04,PG,141,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Alfonso Cuaron,90,7.7,108928,#1
Garfield,75367693,200802638,50000000,6/11/04,PG,80,20th Century Fox,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Peter Hewitt,,4.8,19870,#5
The Terminal,77073959,218673959,75000000,6/18/04,PG-13,128,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,60,7.1,79803,#3
Dodgeball: A True Underdog Story,114326736,167726736,30000000,6/18/04,PG-13,92,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,,6.6,65329,#5
Fahrenheit 9/11,119114517,222414517,6000000,6/23/04,R,122,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83,7.6,74424,#3
Spider-Man 2,373524485,783705001,200000000,6/30/04,PG-13,127,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93,7.7,141940,#1
King Arthur,51877963,203877963,90000000,7/7/04,PG-13,126,Walt Disney Pictures,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Antoine Fuqua,31,6.2,53106,#3
"I, Robot",144801023,348601023,105000000,7/16/04,PG-13,115,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Alex Proyas,58,,,#4
The Bourne Supremacy,176087450,288587450,85000000,7/23/04,PG-13,108,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,81,7.6,104614,#4
The Village,114197520,260197520,71682975,7/30/04,PG-13,108,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,42,6.6,88928,#5
Collateral,100170152,217670152,60000000,8/6/04,R,120,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86,7.8,105362,#5
AVP: Alien Vs. Predator,80281096,172543519,70000000,8/13/04,PG-13,101,20th Century Fox,Spin-Off,Horror,Science Fiction,Paul Anderson,,5.4,63019,#5
Jet Li's Hero,53652140,177352140,17000000,8/27/04,PG-13,96,Miramax,Original Screenplay,Action,Historical Fiction,Yimou Zhang,,,,#3
Shark Tale,160861908,367275019,75000000,10/1/04,PG,90,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35,5.9,40019,#2
The Grudge,110359362,187281115,10000000,10/22/04,PG-13,96,Sony Pictures,Remake,Horror,Contemporary Fiction,,39,5.7,43218,#5
The Incredibles,261441092,632882184,92000000,11/5/04,PG,121,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,Brad Bird,97,8.1,159123,#1
The Polar Express,181320597,305420597,170000000,11/10/04,G,99,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,Robert Zemeckis,56,6.7,28550,#1
Bridget Jones: The Edge Of Reason,40203020,263894551,50000000,11/12/04,R,108,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,,5.6,26325,#3
National Treasure,173005002,347405002,100000000,11/19/04,PG,131,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Jon Turteltaub,44,6.9,83989,#2
Alexander,34297191,167297191,155000000,11/24/04,R,175,Warner Bros.,Based on Real Life Events,Adventure,Dramatization,Oliver Stone,16,5.4,59498,#3
Ocean's Twelve,125531634,363531634,85000000,12/10/04,PG-13,125,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,55,6,89861,#2
Million Dollar Baby,100492203,216763646,30000000,12/15/04,PG-13,132,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,91,8.2,141212,#3
The Aviator,102608827,214608827,110000000,12/17/04,PG-13,170,Miramax,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,88,7.6,85740,#3
Lemony Snicket's A Series of Unfortunate Events,118627117,201627117,100000000,12/17/04,PG,108,Paramount Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brad Silberling,71,6.9,51614,#2
Meet the Fockers,279167575,516567575,60000000,12/22/04,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,38,6.4,69613,#2
Hitch,177784257,366784257,55000000,2/11/05,PG-13,113,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Andy Tennant,69,5.7,89,#5
Constantine,75976178,230884728,75000000,2/18/05,R,122,Warner Bros.,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46,6.7,78705,#5
The Pacifier,113006880,198006880,56000000,3/4/05,PG,97,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,20,5.3,22590,#5
Robots,128200012,260700012,80000000,3/11/05,PG,89,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,64,6.4,27361,#2
The Interpreter,72708161,163954076,90000000,4/22/05,PG-13,118,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,58,6.5,38227,#5
Kingdom of Heaven,47398413,211398413,110000000,5/6/05,R,,20th Century Fox,Original Screenplay,Adventure,Historical Fiction,Ridley Scott,39,7.1,83189,#3
Star Wars Ep. III: Revenge of the Sith,380270577,848998877,115000000,5/19/05,PG-13,140,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,#1
Madagascar,193595521,532680671,75000000,5/27/05,PG,83,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Eric Darnell,55,6.6,56480,#1
The Longest Yard,158119460,190320568,82000000,5/27/05,PG-13,113,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Peter Segal,31,6.2,39752,#5
Mr. And Mrs. Smith,186336279,478336279,110000000,6/10/05,PG-13,112,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Doug Liman,,4.7,189,#4
Batman Begins,205343774,372353017,150000000,6/15/05,PG-13,140,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,84,8.3,270641,#4
The War of the Worlds,234280354,591745532,132000000,6/29/05,PG-13,116,Paramount Pictures,Remake,Action,Science Fiction,Steven Spielberg,,7.2,12074,#4
Fantastic Four,154696080,330579719,87500000,7/8/05,PG-13,123,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27,5.7,71675,#4
Charlie and the Chocolate Factory,206459076,474459076,150000000,7/15/05,PG,115,Warner Bros.,Remake,Comedy,Kids Fiction,Tim Burton,82,7.1,102437,#2
The Wedding Crashers,209218368,283218368,40000000,7/15/05,R,113,New Line,Original Screenplay,Comedy,Contemporary Fiction,David Dobkin,,,,#2
The Island,35818913,163018913,120000000,7/22/05,PG-13,,Dreamworks SKG,Original Screenplay,Action,Science Fiction,Michael Bay,40,6.9,82601,#5
The 40 Year-old Virgin,109449237,177339049,26000000,8/19/05,R,111,Universal,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,,7.5,94557,#3
Flightplan,89706988,225706988,55000000,9/23/05,PG-13,93,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,38,6.2,45305,#5
